Iteration: 1001, Creation Time: 9.77 sec, Embedding Time: 9.45 sec, Workflow Time: 23.05 sec
Iteration: 1002, Creation Time: 9.57 sec, Embedding Time: 2.42 sec, Workflow Time: 16.21 sec
Iteration: 1003, Creation Time: 10.02 sec, Embedding Time: 1.98 sec, Workflow Time: 27.62 sec
Iteration: 1004, Creation Time: 9.92 sec, Embedding Time: 2.57 sec, Workflow Time: 18.84 sec
Iteration: 1005, Creation Time: 9.66 sec, Embedding Time: 9.29 sec, Workflow Time: 27.99 sec
Iteration: 1006, Creation Time: 9.71 sec, Embedding Time: 1.62 sec, Workflow Time: 5.72 sec
Iteration: 1007, Creation Time: 9.51 sec, Embedding Time: 1.71 sec, Workflow Time: 9.60 sec
Iteration: 1008, Creation Time: 9.58 sec, Embedding Time: 2.16 sec, Workflow Time: 32.28 sec
Iteration: 1009, Creation Time: 10.07 sec, Embedding Time: 1.99 sec, Workflow Time: 28.42 sec
Iteration: 1010, Creation Time: 9.61 sec, Embedding Time: 1.48 sec, Workflow Time: 18.12 sec

Iteration: 1002, Creation Time: 9.86 sec, Embedding Time: 3.06 sec, Workflow Time: 18.30 sec
Iteration: 1003, Creation Time: 9.45 sec, Embedding Time: 2.03 sec, Workflow Time: 15.15 sec
Iteration: 1004, Creation Time: 9.47 sec, Embedding Time: 2.02 sec, Workflow Time: 17.22 sec
Iteration: 1005, Creation Time: 9.57 sec, Embedding Time: 2.33 sec, Workflow Time: 21.99 sec
Iteration: 1006, Creation Time: 9.70 sec, Embedding Time: 3.42 sec, Workflow Time: 19.60 sec
Iteration: 1007, Creation Time: 9.66 sec, Embedding Time: 4.61 sec, Workflow Time: 24.68 sec
Iteration: 1008, Creation Time: 9.62 sec, Embedding Time: 1.75 sec, Workflow Time: 17.28 sec
Iteration: 1009, Creation Time: 9.84 sec, Embedding Time: 1.40 sec, Workflow Time: 16.74 sec
Iteration: 1010, Creation Time: 9.65 sec, Embedding Time: 2.39 sec, Workflow Time: 18.83 sec
Iteration: 1011, Creation Time: 9.85 sec, Embedding Time: 1.87 sec, Workflow Time: 23.41 sec

Iteration: 1003, Creation Time: 9.56 sec, Embedding Time: 3.62 sec, Workflow Time: 19.35 sec
Iteration: 1004, Creation Time: 9.91 sec, Embedding Time: 5.47 sec, Workflow Time: 15.72 sec
Iteration: 1005, Creation Time: 9.84 sec, Embedding Time: 3.50 sec, Workflow Time: 30.76 sec
Iteration: 1006, Creation Time: 9.97 sec, Embedding Time: 6.40 sec, Workflow Time: 30.07 sec
Iteration: 1007, Creation Time: 9.41 sec, Embedding Time: 3.98 sec, Workflow Time: 22.06 sec
Iteration: 1008, Creation Time: 9.56 sec, Embedding Time: 4.39 sec, Workflow Time: 27.75 sec
Iteration: 1009, Creation Time: 9.76 sec, Embedding Time: 1.53 sec, Workflow Time: 12.46 sec
Iteration: 1010, Creation Time: 10.06 sec, Embedding Time: 3.05 sec, Workflow Time: 13.49 sec
Iteration: 1011, Creation Time: 9.89 sec, Embedding Time: 1.52 sec, Workflow Time: 24.35 sec
Iteration: 1012, Creation Time: 10.09 sec, Embedding Time: 3.30 sec, Workflow Time: 29.20 sec

Iteration: 1004, Creation Time: 9.76 sec, Embedding Time: 1.40 sec, Workflow Time: 14.91 sec
Iteration: 1005, Creation Time: 9.90 sec, Embedding Time: 1.52 sec, Workflow Time: 26.01 sec
Iteration: 1006, Creation Time: 9.18 sec, Embedding Time: 5.94 sec, Workflow Time: 51.66 sec
Iteration: 1007, Creation Time: 9.95 sec, Embedding Time: 4.46 sec, Workflow Time: 36.96 sec
Iteration: 1008, Creation Time: 9.64 sec, Embedding Time: 1.29 sec, Workflow Time: 19.30 sec
Iteration: 1009, Creation Time: 9.75 sec, Embedding Time: 4.67 sec, Workflow Time: 23.36 sec
Iteration: 1010, Creation Time: 9.86 sec, Embedding Time: 1.87 sec, Workflow Time: 19.17 sec
Iteration: 1011, Creation Time: 9.52 sec, Embedding Time: 1.42 sec, Workflow Time: 18.79 sec
Iteration: 1012, Creation Time: 9.75 sec, Embedding Time: 5.14 sec, Workflow Time: 29.99 sec
Iteration: 1013, Creation Time: 9.95 sec, Embedding Time: 2.41 sec, Workflow Time: 53.21 sec

Iteration: 1005, Creation Time: 9.81 sec, Embedding Time: 7.17 sec, Workflow Time: 50.49 sec
Iteration: 1006, Creation Time: 9.60 sec, Embedding Time: 1.87 sec, Workflow Time: 30.53 sec
Iteration: 1007, Creation Time: 9.65 sec, Embedding Time: 3.27 sec, Workflow Time: 44.88 sec
Iteration: 1008, Creation Time: 9.92 sec, Embedding Time: 2.00 sec, Workflow Time: 39.90 sec
Iteration: 1009, Creation Time: 9.86 sec, Embedding Time: 2.15 sec, Workflow Time: 26.65 sec
Iteration: 1010, Creation Time: 9.98 sec, Embedding Time: 2.36 sec, Workflow Time: 16.93 sec
